,11-Feb-2020,10-Feb-2020,9-Feb-2020,8-Feb-2020,7-Feb-2020,6-Feb-2020,5-Feb-2020,4-Feb-2020,3-Feb-2020,2-Feb-2020,1-Feb-2020,31-Jan-2020,30-Jan-2020,29-Jan-2020,28-Jan-2020,27-Jan-2020,2-Feb-2020,1-Feb-2020,31-Jan-2020,30-Jan-2020,29-Jan-2020,28-Jan-2020,27-Jan-2020,26-Jan-2020,1-Feb-2020,31-Jan-2020,30-Jan-2020,29-Jan-2020,28-Jan-2020,27-Jan-2020,26-Jan-2020,25-Jan-2020,24-Jan-2020,23-Jan-2020,22-Jan-2020,21-Jan-2020,20-Jan-2020,19-Jan-2020,18-Jan-2020,17-Jan-2020,16-Jan-2020,15-Jan-2020,14-Jan-2020,13-Jan-2020,12-Jan-2020,11-Jan-2020,10-Jan-2020,9-Jan-2020
14 - 15,24,27.4,42.4,26.8,32.53,37.94,35.17,29.9,28.73,32.5,29,29,37.53,34.24,28,42.22,32.5,29,29,37.53,34.24,28,42.22,36.03,29,29,37.53,34.24,28,42.22,36.03,37.18,52,51.2,50.07,47.98,43.11,28.74,34.78,39.02,41.41,35,34.49,45,30.9,31.45,37.27,32.9
15 - 16,27.48,29.4,32,29.92,31.84,38.06,37.13,29.05,28.29,32.39,29.9,30.07,35.51,37.92,28.2,44.32,32.39,29.9,30.07,35.51,37.92,28.2,44.32,34.56,29.9,30.07,35.51,37.92,28.2,44.32,34.56,40.51,53.06,53.54,52.4,47.71,44.95,29.75,35.09,41.49,43.85,36.17,32.99,45.35,29.9,32.25,37.73,32.54
16 - 17,28.83,34.5,26.35,37.1,37.52,39.09,40.25,31.42,32.47,28.08,25.68,28.1,37.53,39.02,30,42.84,28.08,25.68,28.1,37.53,39.02,30,42.84,34.79,25.68,28.1,37.53,39.02,30,42.84,34.79,42.44,54.01,54.75,55.63,49.98,46,31.02,37.27,42.24,44.96,39.23,32.38,43.53,30.23,32.55,42.69,33.21
17 - 18,30.78,37.36,34.9,39.18,40.42,45.67,45.22,39.92,37.62,38.41,40.38,33.78,43.71,42.89,39.83,47.08,38.41,40.38,33.78,43.71,42.89,39.83,47.08,39.99,40.38,33.78,43.71,42.89,39.83,47.08,39.99,46.25,60.79,62.35,62.07,60.58,55.91,42.11,41.3,45.63,43.08,48.74,38,46.81,35.22,40.62,48.94,42.93
18 - 19,38,46.36,40,41.3,39.93,46.83,45.83,41.3,37.99,40.05,40.71,37.05,43.01,45.01,39.98,51.21,40.05,40.71,37.05,43.01,45.01,39.98,51.21,42,40.71,37.05,43.01,45.01,39.98,51.21,42,49.99,65.1,68.64,65.09,67.15,57.05,44.24,43.04,46,41.99,44.9,35.1,45.27,46.87,44.5,52,45.86
19 - 20,28,42.7,44.85,38.71,35.47,47.21,45.66,42.07,36.57,36.93,35.36,32.58,41.1,45.1,30.79,47.12,36.93,35.36,32.58,41.1,45.1,30.79,47.12,29.78,35.36,32.58,41.1,45.1,30.79,47.12,29.78,45.84,59.55,60.4,59.58,57.19,54.02,43.89,41.91,44.66,38.86,44.21,30.1,41.78,46.47,33.76,47.68,41.03
20 - 21,29.9,29.7,36.29,31.29,32.23,43.63,40.6,39.75,31,27.05,27.99,29.36,31.13,40.39,26.59,39.9,27.05,27.99,29.36,31.13,40.39,26.59,39.9,29.98,27.99,29.36,31.13,40.39,26.59,39.9,29.98,38.5,45.14,55.53,52.52,49.67,48.68,41.14,37.4,40.99,32.22,34.01,30,31.9,46.51,32,45.03,32.96
21 - 22,28.89,24,27.3,26.84,27.93,37.98,33,30.13,27.16,21.99,30,29,29.04,33.02,28.2,30.3,21.99,30,29,29.04,33.02,28.2,30.3,27.4,30,29,29.04,33.02,28.2,30.3,27.4,29.5,43.27,47.16,47.01,40.43,44.48,36.74,35.13,33.9,30.8,29.9,31.16,26.97,32.07,28.39,41.29,30.9
22 - 23,28,23.3,23.1,27.39,27.35,37.66,30,30.36,27.13,23.87,37.69,29,28.97,29.79,28,30,23.87,37.69,29,28.97,29.79,28,30,26.91,37.69,29,28.97,29.79,28,30,26.91,27.1,42.51,43.9,43.99,35,40.42,40,32.4,33.38,30,33.9,29.16,26.37,38.1,29.9,39.9,31.02
23 - 00,21.73,15.1,13.78,26.4,25,33.58,24.9,31.88,24.76,17.38,24.7,25.4,29.16,27.59,25.3,28.4,17.38,24.7,25.4,29.16,27.59,25.3,28.4,26.09,24.7,25.4,29.16,27.59,25.3,28.4,26.09,27.5,33.5,40.37,39.04,30,32,36.15,33.4,33,29.32,30.73,27.5,23.98,29.9,26.5,33.04,29.7
