DateTime,Measured
02/02/2020 07:00,7.744
02/02/2020 07:10,7.986
02/02/2020 07:20,8.47
02/02/2020 07:30,7.986
02/02/2020 07:40,7.986
02/02/2020 07:50,7.26
02/02/2020 08:00,7.502
02/02/2020 08:10,7.381
02/02/2020 08:20,8.349
02/02/2020 08:30,7.865
02/02/2020 08:40,8.107
02/02/2020 08:50,7.381
02/02/2020 09:00,7.623
02/02/2020 09:10,7.26
02/02/2020 09:20,7.502
02/02/2020 09:30,8.349
02/02/2020 09:40,8.107
02/02/2020 09:50,7.502
02/02/2020 10:00,5.566
02/02/2020 10:10,5.687
02/02/2020 10:20,6.292
02/02/2020 10:30,6.897
02/02/2020 10:40,6.776
02/02/2020 10:50,7.744
02/02/2020 11:00,7.502
02/02/2020 11:10,7.744
02/02/2020 11:20,6.534
02/02/2020 11:30,7.26
02/02/2020 11:40,7.865
02/02/2020 11:50,7.865
02/02/2020 12:00,7.502
02/02/2020 12:10,7.623
02/02/2020 12:20,7.139
02/02/2020 12:30,7.381
02/02/2020 12:40,7.26
02/02/2020 12:50,6.534
02/02/2020 13:00,7.26
02/02/2020 13:10,8.228
02/02/2020 13:20,7.865
02/02/2020 13:30,8.712
02/02/2020 13:40,8.712
02/02/2020 13:50,7.986
02/02/2020 14:00,8.591
02/02/2020 14:10,8.954
02/02/2020 14:20,8.591
02/02/2020 14:30,9.317
02/02/2020 14:40,9.438
02/02/2020 14:50,8.349
02/02/2020 15:00,7.623
02/02/2020 15:10,6.776
02/02/2020 15:20,7.986
02/02/2020 15:30,8.228
02/02/2020 15:40,8.954
02/02/2020 15:50,10.164
02/02/2020 16:00,10.769
02/02/2020 16:10,10.527
02/02/2020 16:20,8.349
02/02/2020 16:30,7.26
02/02/2020 16:40,8.107
02/02/2020 16:50,10.406
02/02/2020 17:00,8.712
02/02/2020 17:10,7.26
02/02/2020 17:20,6.776
02/02/2020 17:30,9.075
02/02/2020 17:40,10.527
02/02/2020 17:50,8.954
02/02/2020 18:00,7.744
02/02/2020 18:10,8.107
02/02/2020 18:20,9.196
02/02/2020 18:30,8.591
02/02/2020 18:40,7.865
02/02/2020 18:50,6.171
02/02/2020 19:00,6.171
02/02/2020 19:10,4.719
